Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"L. Peng","A checklist of the Caddisflies (Insecta: Trichoptera) from the Yintiaoling Nature Reserve of China, with description of one new species",2025,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105008986052&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105008986052&origin=inward",127,"2026-01-04 12:44:07","Article","10.11646/zootaxa.5652.1.6","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/105008986052",5652,1,45,65,0,0.00,0,1,1,"","",""
1,"A.F. Hiemstra","A curious case: caddisfly cases built from brick and sewage overflow microplastics",2025,"Journal of Limnology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105006928371&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105006928371&origin=inward",83,"2026-01-04 12:44:07","Article","10.4081/jlimnol.2025.2212","1129-5767","https://api.elsevier.com/content/abstract/scopus_id/105006928371",84,,,,1,1.00,1,1,1,"","",""
0,"V. de Araujo Barbosa","A Landscape Genetics Approach Reveals Species-Specific Connectivity Patterns for Stream Insects in Fragmented Habitats",2025,"Ecology and Evolution","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000137709&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105000137709&origin=inward",132,"2026-01-04 12:44:07","Article","10.1002/ece3.71084","2045-7758","https://api.elsevier.com/content/abstract/scopus_id/105000137709",15,3,,,0,0.00,0,1,1,"","",""
2,"I.D. Sukatsheva","A New Caddisfly Species Cladochorista uralica sp. nov. (Insecta, Trichoptera: Cladochoristidae) from the Upper Permian of Vyazovka, Orenburg Region, Russia",2025,"Paleontological Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105004360285&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105004360285&origin=inward",16,"2026-01-04 12:44:07","Article","10.1134/S0031030124601506","0031-0301","https://api.elsevier.com/content/abstract/scopus_id/105004360285",59,1,56,60,2,2.00,2,1,1,"","",""
0,"H. Ibrahimi","A new Drusinae from Iran: Drusus iani sp. nov. and molecular insights into the Drusus simplex Species Complex (Trichoptera: Limnephilidae)",2025,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105022267787&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105022267787&origin=inward",187,"2026-01-04 12:44:07","Article","10.11646/zootaxa.5716.3.5","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/105022267787",5716,3,382,396,0,0.00,0,1,1,"","",""
1,"F.B. Quinteiro","A new species of Oecetis McLachlan, 1877 (Trichoptera, Leptoceridae) and new distributional records of Trichoptera in the eastern Amazon",2025,"Zookeys","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024192135&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105024192135&origin=inward",40,"2026-01-04 12:44:07","Article","10.3897/zookeys.1263.151613","1313-2989","https://api.elsevier.com/content/abstract/scopus_id/105024192135",,1263,365,377,1,1.00,1,1,1,"","",""
1,"A.F. Taybi","A new species of Tinodes Curtis, 1834 (Trichoptera: Psychomyiidae) from Ifrane National Park, Morocco",2025,"Ecologica Montenegrina","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105021132566&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105021132566&origin=inward",73,"2026-01-04 12:44:07","Article","10.37828/em.2025.88.7","2337-0173","https://api.elsevier.com/content/abstract/scopus_id/105021132566",88,,71,79,1,1.00,1,1,1,"","",""
0,"Y. Imada","Absence of fibroin H sequences and a significant divergence in the putative fibroin L homolog in Neomicropteryx cornuta (Micropterigidae) silk",2025,"Communications Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000175702&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105000175702&origin=inward",189,"2026-01-04 12:44:07","Article","10.1038/s42003-025-07801-w","2399-3642","https://api.elsevier.com/content/abstract/scopus_id/105000175702",8,1,,,0,0.00,0,1,1,"","",""
1,"R.E. Thomson","Additions to the genus Rhyacopsyche Müller, 1879 (Trichoptera, Hydroptilidae) in Ecuador",2025,"Zookeys","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024248988&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105024248988&origin=inward",28,"2026-01-04 12:44:07","Article","10.3897/zookeys.1263.148084","1313-2989","https://api.elsevier.com/content/abstract/scopus_id/105024248988",,1263,531,543,1,1.00,1,1,1,"","",""
0,"G.R. Desidério","Amazonian Discovery Sheds Light on the Evolution of Caenocentron Schmid, 1982 (Trichoptera: Xiphocentronidae): Phylogenetic Placement and Description of a New Species †",2025,"Insects","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026026239&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105026026239&origin=inward",100,"2026-01-04 12:44:07","Article","10.3390/insects16121188","2075-4450","https://api.elsevier.com/content/abstract/scopus_id/105026026239",16,12,,,0,0.00,0,1,1,"","",""
