Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"D. Schreve","A Middle Devensian woolly rhinoceros (Coelodonta antiquitatis) from Whitemoor Haye Quarry, Staffordshire (UK): Palaeoenvironmental context and significance",2013,"Journal of Quaternary Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84873993212&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873993212&origin=inward",72,"2026-01-04 12:21:33","Article","10.1002/jqs.2594","0267-8179","https://api.elsevier.com/content/abstract/scopus_id/84873993212",28,2,118,130,21,1.62,21,1,13,"","",""
10,"Y. Gao","A new Middle Jurassic caddisfly (Trichoptera, Hydrobiosidae) from China",2013,"Fossil Record","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84884574382&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884574382&origin=inward",123,"2026-01-04 12:21:33","Article","10.1002/mmng.201300005","1053-3389","https://api.elsevier.com/content/abstract/scopus_id/84884574382",16,1,111,116,10,0.77,10,1,13,"","",""
12,"W.R.M. De Souza","A new species and new records of microcaddisflies (Trichoptera: Hydroptilidae) from northeastern Brazil",2013,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84882996778&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84882996778&origin=inward",108,"2026-01-04 12:21:33","Article","10.11646/zootaxa.3700.4.6","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/84882996778",3700,4,583,587,12,0.92,12,1,13,"","",""
2,"D. Givens","A portable, vehicle use rearing chamber for caddisfly larvae and pupae (Trichoptera)",2013,"Pan Pacific Entomologist","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84886077606&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886077606&origin=inward",192,"2026-01-04 12:21:33","Article","10.3956/2013-13.1","0031-0603","https://api.elsevier.com/content/abstract/scopus_id/84886077606",89,3,153,158,2,0.15,2,1,13,"","",""
76,"M.A. Evans-White","A review of stream nutrient criteria development in the United States",2013,"Journal of Environmental Quality","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84881522158&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84881522158&origin=inward",12,"2026-01-04 12:21:33","Article","10.2134/jeq2012.0491","0047-2425","https://api.elsevier.com/content/abstract/scopus_id/84881522158",42,4,1002,1014,76,5.85,76,1,13,"","",""
5,"M. Forcellini","A revised description of the larva of Homilia leucophaea (Rambur 1842) (Trichoptera: Leptoceridae) and comparisons with the known western European Athripsodes larvae",2013,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84880225162&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880225162&origin=inward",165,"2026-01-04 12:21:33","Article","10.11646/zootaxa.3682.1.10","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/84880225162",3682,1,191,199,5,0.38,5,1,13,"","",""
20,"W. Bovill","A test of the preference-performance hypothesis with stream insects: Selective oviposition affects the hatching success of caddisfly eggs",2013,"Freshwater Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84884986374&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884986374&origin=inward",73,"2026-01-04 12:21:33","Article","10.1111/fwb.12209","0046-5070","https://api.elsevier.com/content/abstract/scopus_id/84884986374",58,11,2287,2298,20,1.54,20,1,13,"","",""
15,"D. Houghton","Abrupt biological discontinuity in a small Michigan (USA) stream due to historical riparian canopy loss",2013,"Journal of Freshwater Ecology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883496490&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883496490&origin=inward",91,"2026-01-04 12:21:33","Review","10.1080/02705060.2013.774298","0270-5060","https://api.elsevier.com/content/abstract/scopus_id/84883496490",28,3,293,306,15,1.15,15,1,13,"","",""
17,"A.A. Kolmakova","Amino acid composition of epilithic biofilm and benthic animals in a large Siberian river",2013,"Freshwater Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883287024&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883287024&origin=inward",84,"2026-01-04 12:21:33","Article","10.1111/fwb.12200","0046-5070","https://api.elsevier.com/content/abstract/scopus_id/84883287024",58,10,2180,2195,17,1.31,17,1,13,"","",""
2,"M. Moroz","Aquatic insects of cross-border water currents between Belarus and Ukraine",2013,"Entomological Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887263746&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887263746&origin=inward",191,"2026-01-04 12:21:33","Article","10.1134/S0013873813070099","0013-8738","https://api.elsevier.com/content/abstract/scopus_id/84887263746",93,7,874,886,2,0.15,2,1,13,"","",""
