Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"J.M. Orlofske","A geometric morphometric approach to establish body-shape trait criteria for aquatic insects",2014,"Freshwater Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84906701779&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906701779&origin=inward",77,"2026-01-04 12:22:33","Article","10.1086/676912","2161-9549","https://api.elsevier.com/content/abstract/scopus_id/84906701779",33,3,978,994,19,1.58,19,1,12,"","",""
5,"S.S. Qian","A hierarchical zero-inflated model for species compositional data-from individual taxon responses to community response",2014,"Limnology and Oceanography Methods","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84905443922&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84905443922&origin=inward",155,"2026-01-04 12:22:33","Article","10.4319/lom.2014.12.498","1541-5856","https://api.elsevier.com/content/abstract/scopus_id/84905443922",12,,498,506,5,0.42,5,1,12,"","",""
57,"H.H. Nguyen","A multimetric macroinvertebrate index for assessing the water quality of the Cau river basin in Vietnam",2014,"Limnologica","","https://api.elsevier.com/content/article/eid/1-s2.0-S0075951113000820","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892164020&origin=inward",10,"2026-01-04 12:22:33","Article","10.1016/j.limno.2013.10.001","0075-9511","https://api.elsevier.com/content/abstract/scopus_id/84892164020",45,,16,23,57,4.75,57,1,12,"","",""
14,"M. Wang","A new Cretaceous genus of xyelydid sawfly illuminating nygmata evolution in Hymenoptera",2014,"BMC Evolutionary Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84902300532&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84902300532&origin=inward",99,"2026-01-04 12:22:33","Article","10.1186/1471-2148-14-131","1471-2148","https://api.elsevier.com/content/abstract/scopus_id/84902300532",14,1,,,14,1.17,14,1,12,"","",""
10,"Y. Liu","A new fossil of necrotauliidae (Insecta: Trichoptera) from the jiulongshan formation of china and its taxonomic significance",2014,"Plos One","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84918492185&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84918492185&origin=inward",116,"2026-01-04 12:22:33","Article","10.1371/journal.pone.0114968","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/84918492185",9,12,,,10,0.83,10,1,12,"","",""
2,"M.E. Shackleton","A new genus and species of calocidae (Trichoptera: Insecta) from south eastern Australia",2014,"Memoirs of Museum Victoria","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84919771659&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84919771659&origin=inward",189,"2026-01-04 12:22:33","Article","10.24199/j.mmv.2014.72.03","1447-2546","https://api.elsevier.com/content/abstract/scopus_id/84919771659",72,,25,30,2,0.17,2,1,12,"","",""
8,"A.M. Costa","A new species of Atanatolica Mosely 1936 (Trichoptera: Leptoceridae) from Serra Bonita, Bahia, Brazil",2014,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84898678283&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84898678283&origin=inward",133,"2026-01-04 12:22:33","Article","10.11646/zootaxa.3790.1.10","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/84898678283",3790,1,194,200,8,0.67,8,1,12,"","",""
3,"A. Ruiz-García","A new species of genus Schizopelex Mclachlan (Trichoptera, Sericostomatidae), from the Southern Iberian Peninsula",2014,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907276167&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907276167&origin=inward",181,"2026-01-04 12:22:33","Article","10.11646/zootaxa.3866.2.8","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/84907276167",3866,2,297,300,3,0.25,3,1,12,"","",""
23,"L. Sandin","A trait-based approach to assess climate change sensitivity of freshwater invertebrates across Swedish ecoregions",2014,"Current Zoology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84899129953&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84899129953&origin=inward",57,"2026-01-04 12:22:33","Article","10.1093/czoolo/60.2.221","1674-5507","https://api.elsevier.com/content/abstract/scopus_id/84899129953",60,2,221,232,23,1.92,23,1,12,"","",""
85,"L. Conti","A trait-based approach to assess the vulnerability of European aquatic insects to climate change",2014,"Hydrobiologia","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84887890262&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887890262&origin=inward",5,"2026-01-04 12:22:33","Article","10.1007/s10750-013-1690-7","0018-8158","https://api.elsevier.com/content/abstract/scopus_id/84887890262",721,1,297,315,85,7.08,85,1,12,"","",""
10,"B.L. Long","Activity and Diet of Bats in Conventional versus Organic Apple Orchards in Southern Michigan",2014,"Canadian Field Naturalist","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84904626249&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84904626249&origin=inward",115,"2026-01-04 12:22:33","Article","10.22621/cfn.v128i2.1580","0008-3550","https://api.elsevier.com/content/abstract/scopus_id/84904626249",128,2,158,164,10,0.83,10,1,12,"","",""
25,"K. Watanabe","Adaptive genetic divergence along narrow environmental gradients in four stream insects",2014,"Plos One","","https://api.elsevier.com/content/article/eid/1-s2.0-S1932620314129656","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84899792483&origin=inward",51,"2026-01-04 12:22:33","Article","10.1371/journal.pone.0093055","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/84899792483",9,3,,,25,2.08,25,1,12,"","",""
