Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2525,"F. Sánchez-Bayo","Worldwide decline of the entomofauna: A review of its drivers",2019,"Biological Conservation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0006320718313636","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060696480&origin=inward",1,"2025-12-12 18:13:07","Review","10.1016/j.biocon.2019.01.020","0006-3207","https://api.elsevier.com/content/abstract/scopus_id/85060696480",232,,8,27,2525,420.83,2525,1,6,"","",""
1415,"A. Honek","Intraspecific variation in body size and fecundity in insects: a general relationship",1993,"Oikos","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027524321&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027524321&origin=inward",2,"2025-12-12 18:13:07","Article","10.2307/3544943","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/0027524321",66,3,483,492,1415,44.22,1415,1,32,"","",""
1151,"C.A. Morrissey","Neonicotinoid contamination of global surface waters and associated risk to aquatic invertebrates: A review",2015,"Environment International","","https://api.elsevier.com/content/article/eid/1-s2.0-S0160412014003183","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84909592174&origin=inward",3,"2025-12-12 18:13:07","Review","10.1016/j.envint.2014.10.024","0160-4120","https://api.elsevier.com/content/abstract/scopus_id/84909592174",74,,291,303,1151,115.10,1151,1,10,"","",""
890,"M.F. Whiting","The strepsiptera problem: Phylogeny of the holometabolous insect orders inferred from 18S and 28S ribosomal DNA sequences and morphology",1997,"Systematic Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031084115&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031084115&origin=inward",4,"2025-12-12 18:13:07","Article","10.1093/sysbio/46.1.1","1063-5157","https://api.elsevier.com/content/abstract/scopus_id/0031084115",46,1,1,68,890,31.79,890,1,28,"","",""
774,"N.L.R. Poff","Functional trait niches of North American lotic insects: Traits-based ecological applications in light of phylogenetic relationships",2006,"Journal of the North American Benthological Society","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33845314747&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845314747&origin=inward",5,"2025-12-12 18:13:07","Review","10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2","0887-3593","https://api.elsevier.com/content/abstract/scopus_id/33845314747",25,4,730,755,774,40.74,774,1,19,"","",""
719,"B.J. Cardinale","Species diversity enhances ecosystem functioning through interspecific facilitation",2002,"Nature","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037165170&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037165170&origin=inward",6,"2025-12-12 18:13:07","Article","10.1038/415426a","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0037165170",415,6870,426,429,719,31.26,719,1,23,"","",""
575,"V. Elbrecht","Can DNA-based ecosystem assessments quantify species abundance? Testing primer bias and biomass-sequence relationships with an innovative metabarcoding protocol",2015,"Plos One","","https://api.elsevier.com/content/article/eid/1-s2.0-S1932620315212011","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84941286809&origin=inward",7,"2025-12-12 18:13:07","Article","10.1371/journal.pone.0130324","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/84941286809",10,7,,,575,57.50,575,1,10,"","",""
493,"A. Boulton","Parallels and contrasts in the effects of drought on stream macroinvertebrate assemblages",2003,"Freshwater Biology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0038236623&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038236623&origin=inward",8,"2025-12-12 18:13:07","Review","10.1046/j.1365-2427.2003.01084.x","0046-5070","https://api.elsevier.com/content/abstract/scopus_id/0038236623",48,7,1173,1185,493,22.41,493,1,22,"","",""
426,"W.C. Wheeler","The phylogeny of the extant hexapod orders",2001,"Cladistics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0748300700901476","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034958911&origin=inward",9,"2025-12-12 18:13:07","Article","10.1006/clad.2000.0147","0748-3007","https://api.elsevier.com/content/abstract/scopus_id/0034958911",17,2,113,169,426,17.75,426,1,24,"","",""
424,"H. Weigand","DNA barcode reference libraries for the monitoring of aquatic biota in Europe: Gap-analysis and recommendations for future work",2019,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969719317760","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065260981&origin=inward",10,"2025-12-12 18:13:07","Review","10.1016/j.scitotenv.2019.04.247","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85065260981",678,,499,524,424,70.67,424,1,6,"","",""
