Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"M.I. Hornberger","A biodynamic model predicting copper and cadmium bioaccumulation in caddisflies: Linkages between field studies and laboratory exposures",2024,"Plos One","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185760031&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85185760031&origin=inward",100,"2026-01-04 12:42:30","Article","10.1371/journal.pone.0297801","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/85185760031",19,2,,,3,1.50,3,1,2,"","",""
14,"L. Vuataz","A comprehensive DNA barcoding reference database for Plecoptera of Switzerland",2024,"Scientific Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187925988&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187925988&origin=inward",12,"2026-01-04 12:42:30","Article","10.1038/s41598-024-56930-5","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85187925988",14,1,,,14,7.00,14,1,2,"","",""
0,"Z.T. Chen","A Cretaceous Caddisfly Larva Encased in Amber and Its Evolutionary Implications (Insecta: Trichoptera)",2024,"Annales Zoologici","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85198742233&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85198742233&origin=inward",196,"2026-01-04 12:42:30","Article","10.3161/00034541ANZ2024.74.2.003","0003-4541","https://api.elsevier.com/content/abstract/scopus_id/85198742233",74,2,283,294,0,0.00,0,1,2,"","",""
3,"H. Ibrahimi","A new Drusinae (Trichoptera: Limnephilidae) species from the Zagros Mountains in the Kurdistan Province, Iran",2024,"Zootaxa","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184589773&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85184589773&origin=inward",84,"2026-01-04 12:42:30","Article","10.11646/zootaxa.5406.3.4","1175-5326","https://api.elsevier.com/content/abstract/scopus_id/85184589773",5406,3,451,460,3,1.50,3,1,2,"","",""
1,"E. Rázuri-Gonzales","A new species of Rhyacophila Pictet, 1834 (Trichoptera, Rhyacophilidae) from Corsica with the genomic characterization of the holotype",2024,"Zookeys","","https://api.elsevier.com/content/article/eid/1-s2.0-S1313298924004294","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85211132486&origin=inward",166,"2026-01-04 12:42:30","Article","10.3897/zookeys.1218.132275","1313-2989","https://api.elsevier.com/content/abstract/scopus_id/85211132486",1218,,295,314,1,0.50,1,1,2,"","",""
1,"T. Ali","A new species of the genus Rhyacophila Pictet, 1834 (Insecta, Trichoptera, Rhyacophilidae), from India",2024,"Contributions to Entomology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105015382033&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105015382033&origin=inward",136,"2026-01-04 12:42:30","Article","10.3897/contrib.entomol.74.e116603","0005-805X","https://api.elsevier.com/content/abstract/scopus_id/105015382033",74,1,7,11,1,0.50,1,1,2,"","",""
15,"G. Hailay Gebremariam","A Systematic Review of Insect Decline and Discovery: Trends, Drivers, and Conservation Strategies over the past Two Decades",2024,"Psyche Journal of Entomology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205285650&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85205285650&origin=inward",10,"2026-01-04 12:42:30","Review","10.1155/2024/5998962","0033-2615","https://api.elsevier.com/content/abstract/scopus_id/85205285650",2024,,,,15,7.50,15,1,2,"","",""
11,"J. García-Girón","A time-calibrated ‘Tree of Life’ of aquatic insects for knitting historical patterns of evolution and measuring extant phylogenetic biodiversity across the world",2024,"Earth Science Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S0012825224000941","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189986517&origin=inward",19,"2026-01-04 12:42:30","Review","10.1016/j.earscirev.2024.104767","0012-8252","https://api.elsevier.com/content/abstract/scopus_id/85189986517",252,,,,11,5.50,11,1,2,"","",""
4,"G. La Porta","A Warm Welcome to the Alps—The Northward Expansion of Trithemis annulata (Odonata, Libellulidae) in Italy",2024,"Insects","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194429323&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85194429323&origin=inward",81,"2026-01-04 12:42:30","Article","10.3390/insects15050340","2075-4450","https://api.elsevier.com/content/abstract/scopus_id/85194429323",15,5,,,4,2.00,4,1,2,"","",""
7,"U. Diarra","Actinomycetes associated with hymenopteran insects: a promising source of bioactive natural products",2024,"Frontiers in Microbiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S1664302X24004407","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85187892674&origin=inward",38,"2026-01-04 12:42:30","Review","10.3389/fmicb.2024.1303010","1664-302X","https://api.elsevier.com/content/abstract/scopus_id/85187892674",15,,,,7,3.50,7,1,2,"","",""
