Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2525,F. Sánchez-Bayo,Worldwide decline of the entomofauna: A review of its drivers,2019,Biological Conservation,,https://api.elsevier.com/content/article/eid/1-s2.0-S0006320718313636,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060696480&origin=inward,1,2025-12-12 18:13:07,Review,10.1016/j.biocon.2019.01.020,0006-3207,https://api.elsevier.com/content/abstract/scopus_id/85060696480,232.0,,8.0,27.0,2525,420.83,2525,1,6,,,
1415,A. Honek,Intraspecific variation in body size and fecundity in insects: a general relationship,1993,Oikos,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0027524321&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027524321&origin=inward,2,2025-12-12 18:13:07,Article,10.2307/3544943,0030-1299,https://api.elsevier.com/content/abstract/scopus_id/0027524321,66.0,3.0,483.0,492.0,1415,44.22,1415,1,32,"The relationship between intra-specific variation in female body size and potential fecundity was investigated using the published literature on 57 oviparous species of Coleoptera, Diptera, Ephemeroptera, Heteroptera, Homoptera, Hymenoptera, Lepidoptera, and Trichoptera, and 11 species of larviparous Aphidina and Diptera. Female body sizes were converted to dry body weight. Variation in body weight and fecundity was expressed as percentage deviation from the median values. The increase in fecundity with body weight was similar in most taxa, with only a few important exceptions. The common regression for oviparous and larviparous species predicts a 0.95% increase in median fecundity for each 1% increase in dry body weight. The number of ovarioles (in 10 species of Coleoptera, Diptera, Hymenoptera and Orthoptera) also increased with body weight. The general relationship predicted a 0.81% increase in ovariole number for each 1% increase in dry body weight. The slope of ovariole number versus weight relationship was greater in species with many ovarioles than in species with few. The common slope of the fecundity/size relationship is close to 1 and this indicates that female size is a principal constraint on insect potential fecundity.",,
1151,C.A. Morrissey,Neonicotinoid contamination of global surface waters and associated risk to aquatic invertebrates: A review,2015,Environment International,,https://api.elsevier.com/content/article/eid/1-s2.0-S0160412014003183,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84909592174&origin=inward,3,2025-12-12 18:13:07,Review,10.1016/j.envint.2014.10.024,0160-4120,https://api.elsevier.com/content/abstract/scopus_id/84909592174,74.0,,291.0,303.0,1151,115.1,1151,1,10,,,
890,M.F. Whiting,The strepsiptera problem: Phylogeny of the holometabolous insect orders inferred from 18S and 28S ribosomal DNA sequences and morphology,1997,Systematic Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031084115&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031084115&origin=inward,4,2025-12-12 18:13:07,Article,10.1093/sysbio/46.1.1,1063-5157,https://api.elsevier.com/content/abstract/scopus_id/0031084115,46.0,1.0,1.0,68.0,890,31.79,890,1,28,"Phylogenetic relationships among the holometabolous insect orders were inferred from cladistic analysis of nucleotide sequences of 18S ribosomal DNA (rDNA) (85 exemplars) and 28S rDNA (52 exemplars) and morphological characters. Exemplar outgroup taxa were Collembola (1 sequence), Archaeognatha (1), Ephemerida (1), Odonata (2), Plecoptera (2), Blattodea (1), Mantodea (1), Dermaptera (1), Orthoptera (1), Phasmatodea (1), Embioptera (1), Psocoptera (1), Phthiraptera (1), Hemiptera (4), and Thysanoptera (1). Exemplar ingroup taxa were Coleoptera: Archostemata (1), Adephaga (2), and Polyphaga (7); Megaloptera (1); Raphidioptera (1); Neuroptera (sensu stricto = Planipennia): Mantispoidea (2), Hemerobioidea (2), and Myrmeleontoidea (2); Hymenoptera: Symphyta (4) and Apocrita (19); Trichoptera: Hydropsychoidea (1) and Limnephiloidea (2); Lepidoptera: Ditrysia (3); Siphonaptera: Pulicoidea (1) and Ceratophylloidea (2); Mecoptera: Meropeidae (1), Boreidae (1), Panorpidae (1), and Bittacidae (2); Diptera: Nematocera (1), Brachycera (2), and Cyclorrhapha (1); and Strepsiptera: Corioxenidae (1), Myrmecolacidae (1), Elenchidae (1), and Stylopidae (3). We analyzed approximately 1 kilobase of 18S rDNA, starting 398 nucleotides downstream of the 5' end, and approximately 400 bp of 28S rDNA in expansion segment D3. Multiple alignment of the 18S and 28S sequences resulted in 1,116 nucleotide positions with 24 insert regions and 398 positions with 14 insert regions, respectively. All Strepsiptera and Neuroptera have large insert regions in 18S and 28S. The secondary structure of 18S insert 23 is composed of long stems that are GC rich in the basal Strepsiptera and AT rich in the more derived Strepsiptera. A matrix of 176 morphological characters was analyzed for holometabolous orders. Incongruence length difference tests indicate that the 28S + morphological data sets are incongruent but that 28S + 18S, 18S + morphology, and 28S + 18S + morphology fail to reject the hypothesis of congruence. Phylogenetic trees were generated by parsimony analysis, and clade robustness was evaluated by branch length, Bremer support, percentage of extra steps required to force paraphyly, and sensitivity analysis using the following parameters: gap weights, morphological character weights, methods of data set combination, removal of key taxa, and alignment region. The following are monophyletic under most or all combinations of parameter values: Holometabola, Polyphaga, Megaloptera + Raphidioptera, Neuroptera, Hymenoptera, Trichoptera, Lepidoptera, Amphiesmenoptera (Trichoptera + Lepidoptera), Siphonaptera, Siphonaptera + Mecoptera, Strepsiptera, Diptera, and Strepsiptera + Diptera (Halteria). Antliophora (Mecoptera + Diptera + Siphonaptera + Strepsiptera), Mecopterida (Antliophora + Amphiesmenoptera), and Hymenoptera + Mecopterida are supported in the majority of total evidence analyses. Mecoptera may be paraphyletic because Boreus is often placed as sister group to the fleas; hence, Siphonaptera may be subordinate within Mecoptera. The 18S sequences for Priacma (Coleoptera: Archostemata), Colpocaccus (Coleoptera: Adephaga), Agulla (Raphidioptera), and Corydalus (Megaloptera) are nearly identical, and Neuropterida are monophyletic only when those two beetle sequences are removed from the analysis. Coleoptera are therefore paraphyletic under almost all combinations of parameter values. Halteria and Amphiesmenoptera have high Bremer support values and long branch lengths. The data do not support placement of Strepsiptera outside of Holometabola nor as sister group to Coleoptera. We reject the notion that the monophyly of Halteria is due to long branch attraction because Strepsiptera and Diptera do not have the longest branches and there is phylogenetic congruence between molecules, across the entire parameter space, and between morphological and molecular data.",,
774,N.L.R. Poff,Functional trait niches of North American lotic insects: Traits-based ecological applications in light of phylogenetic relationships,2006,Journal of the North American Benthological Society,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33845314747&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845314747&origin=inward,5,2025-12-12 18:13:07,Review,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,0887-3593,https://api.elsevier.com/content/abstract/scopus_id/33845314747,25.0,4.0,730.0,755.0,774,40.74,774,1,19,"Abstract The use of species traits to characterize the functional composition of benthic invertebrate communities has become well established in the ecological literature. This approach holds much potential for predicting changes of both species and species assemblages along environmental gradients in terms of traits that are sensitive to local environmental conditions. Further, in the burgeoning field of biomonitoring, a functional approach provides a predictive basis for understanding community-level responses along gradients of environmental alteration caused by humans. Despite much progress in recent years, the full potential of the functional traits-based approach is currently limited by several factors, both conceptual and methodological. Most notably, we lack adequate understanding of how individual traits are intercorrelated and how this lack of independence among traits reflects phylogenetic (evolutionary) constraint. A better understanding is needed if we are to make the transition from a largely univariate approach that considers single-trait responses along single environmental gradients to a multivariate one that more realistically accounts for the responses of many traits across multiple environmental gradients characteristic of most human-dominated landscapes. Our primary objective in this paper is to explore the issue of inter-trait correlations for lotic insects and to identify opportunities and challenges for advancing the theory and application of traits-based approaches in stream community ecology. We created a new database on species-trait composition of North American lotic insects. Using published accounts and expert opinion, we collected information on 20 species traits (in 59 trait states) that fell into 4 broad categories: life-history, morphological, mobility, and ecological. First, we demonstrate the importance of considering how the linkage of specific trait states within a taxon is critical to developing a more-robust traits-based community ecology. Second, we examine the statistical correlations among traits and trait states for the 311 taxa to identify trait syndromes and specify which traits provide unique (uncorrelated) information that can be used to guide trait selection in ecological studies. Third, we examine the evolutionary associations among traits by mapping trait states onto a phylogentic tree derived from morphological and molecular analyses and classifications from the literature. We examine the evolutionary lability of individual traits by assessing the extent to which they are unconstrained by phylogenic relationships across the taxa. By focusing on the lability of traits within lotic genera of Ephemeroptera, Plecoptera, and Trichoptera, taxa often used as water-quality indicators, we show how a traits-based approach can allow a priori expectations of the differential response of these taxa to specific environmental gradients. We conclude with some ideas about how specific trait linkages, statistical correlations among traits, and evolutionary lability of traits can be used in combination with a mechanistic understanding of trait response along environmental gradients to select robust traits useful for a more predictive community ecology. We indicate how these new insights can direct the research in statistical modeling that is necessary to achieve the full potential of models that can predict how multiple traits will respond along multiple environmental gradients.",,
719,B.J. Cardinale,Species diversity enhances ecosystem functioning through interspecific facilitation,2002,Nature,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037165170&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037165170&origin=inward,6,2025-12-12 18:13:07,Article,10.1038/415426a,0028-0836,https://api.elsevier.com/content/abstract/scopus_id/0037165170,415.0,6870.0,426.0,429.0,719,31.26,719,1,23,,,
575,V. Elbrecht,Can DNA-based ecosystem assessments quantify species abundance? Testing primer bias and biomass-sequence relationships with an innovative metabarcoding protocol,2015,Plos One,,https://api.elsevier.com/content/article/eid/1-s2.0-S1932620315212011,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84941286809&origin=inward,7,2025-12-12 18:13:07,Article,10.1371/journal.pone.0130324,1932-6203,https://api.elsevier.com/content/abstract/scopus_id/84941286809,10.0,7.0,,,575,57.5,575,1,10,"&lt;div&gt;&lt;p&gt;Metabarcoding is an emerging genetic tool to rapidly assess biodiversity in ecosystems. It involves high-throughput sequencing of a standard gene from an environmental sample and comparison to a reference database. However, no consensus has emerged regarding laboratory pipelines to screen species diversity and infer species abundances from environmental samples. In particular, the effect of primer bias and the detection limit for specimens with a low biomass has not been systematically examined, when processing samples in bulk. We developed and tested a DNA metabarcoding protocol that utilises the standard cytochrome c oxidase subunit I (COI) barcoding fragment to detect freshwater macroinvertebrate taxa. DNA was extracted in bulk, amplified in a single PCR step, and purified, and the libraries were directly sequenced in two independent MiSeq runs (300-bp paired-end reads). Specifically, we assessed the influence of specimen biomass on sequence read abundance by sequencing 31 specimens of a stonefly species with known haplotypes spanning three orders of magnitude in biomass (experiment I). Then, we tested the recovery of 52 different freshwater invertebrate taxa of similar biomass using the same standard barcoding primers (experiment II). Each experiment was replicated ten times to maximise statistical power. The results of both experiments were consistent across replicates. We found a distinct positive correlation between species biomass and resulting numbers of MiSeq reads. Furthermore, we reliably recovered 83% of the 52 taxa used to test primer bias. However, sequence abundance varied by four orders of magnitudes between taxa despite the use of similar amounts of biomass. Our metabarcoding approach yielded reliable results for high-throughput assessments. However, the results indicated that primer efficiency is highly species-specific, which would prevent straightforward assessments of species abundance and biomass in a sample. Thus, PCR-based metabarcoding assessments of biodiversity should rely on presence-absence metrics.&lt;/p&gt;&lt;/div&gt;",,
493,A. Boulton,Parallels and contrasts in the effects of drought on stream macroinvertebrate assemblages,2003,Freshwater Biology,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0038236623&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038236623&origin=inward,8,2025-12-12 18:13:07,Review,10.1046/j.1365-2427.2003.01084.x,0046-5070,https://api.elsevier.com/content/abstract/scopus_id/0038236623,48.0,7.0,1173.0,1185.0,493,22.41,493,1,22,"Summary It is axiomatic that unusually long dry periods (droughts) adversely affect aquatic biota. Recovery after drought is rapid by macroinvertebrates that possess strategies to survive drying or are highly mobile but other taxa take longer to recolonise depending on the timing, intensity, and duration of the dry phase. Although drought acts as a sustained ‘ramp’ disturbance, impacts may be disproportionately severe when certain critical thresholds are exceeded. For example, ecological changes may be gradual while a riffle dries but cessation of flow causes abrupt loss of a specific habitat, alteration of physicochemical conditions in pools downstream, and fragmentation of the river ecosystem. Many ecological responses to drought within these habitats apparently depend on the timing and rapidity of hydrological transitions across these thresholds, exhibiting a ‘stepped’ response alternating between gradual change while a threshold is approached followed by a swift transition when a habitat disappears or is fragmented. In two Australian intermittent streams, drought conditions eliminated or decimated several groups of macroinvertebrates, including atyid shrimps, stoneflies and free‐living caddisflies. These taxa persisted during the early stages of the drought but did not recruit successfully the following year, despite a return to higher‐than‐baseflow conditions. This ‘lag effect’ in response to drought emphasises the value of long‐term survey data. Although changes in faunal composition were inconsistent among sites, marked shifts in taxa richness, abundance and trophic organisation after the riffle habitat dried provide evidence for a stepped response. Responses by macroinvertebrate assemblages to droughts of differing severity in English chalk streams were variable. The prolonged 1988–92 drought had a greater impact than shorter droughts in the early 1970s but recovery over the next 3 years was swift. Effects of the 1995 summer drought were buffered by sustained groundwater discharge from the previous winter. These droughts tended to reduce available riverine habitats, especially via siltation, but few taxa were eliminated because they could recolonise from perennial sections of the chalk streams. In the contrasting environments of the intermittent streams studied in England and Australia, there are parallels in the rapid rates of recolonisation. However, recruitment by taxa that lack desiccation‐resistant stages or have limited mobility is delayed. Currently, long‐term data on these systems may be insufficient to indicate persistent effects of droughts or predict the impacts of excessive surface or groundwater abstraction or the increased frequency and duration of droughts expected with global climate change.",,
426,W.C. Wheeler,The phylogeny of the extant hexapod orders,2001,Cladistics,,https://api.elsevier.com/content/article/eid/1-s2.0-S0748300700901476,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034958911&origin=inward,9,2025-12-12 18:13:07,Article,10.1006/clad.2000.0147,0748-3007,https://api.elsevier.com/content/abstract/scopus_id/0034958911,17.0,2.0,113.0,169.0,426,17.75,426,1,24,"Morphological and molecular data are marshalled to address the question of hexapod ordinal relationships. The combination of 275 morphological variables, 1000 bases of the small subunit nuclear rDNA (18S), and 350 bases of the large subunit nuclear rDNA (28S) are subjected to a variety of analysis parameters (indel and transversion costs). Representatives of each hexapod order are included with most orders represented multiply. Those parameters that minimize character incongruence (ILD of Mickevich and Farris, 1981, Syst. Zool. 30, 351–370), among the morphological and molecular data sets are chosen to generate the best supported cladogram. A well-resolved and robust cladogram of ordinal relationships is produced with the topology (Crustacea ((Chilopoda Diplopoda) ((Collembola Protura) ((Japygina Campodeina) (Archaeognatha (Zygentoma (Ephemerida (Odonata ((((Mantodea Blattaria) Isoptera) Zoraptera) ((Plecoptera Embiidina) (((Orthoptera Phasmida) (Grylloblattaria Dermaptera)) ((((Psocoptera Phthiraptera) Thysanoptera) Hemiptera) ((Neuropteroidea Coleoptera) (((((Strepsiptera Diptera) Mecoptera) Siphonaptera) (Trichoptera Lepidoptera)) Hymenoptera)))))))))))))).",,
424,H. Weigand,DNA barcode reference libraries for the monitoring of aquatic biota in Europe: Gap-analysis and recommendations for future work,2019,Science of the Total Environment,,https://api.elsevier.com/content/article/eid/1-s2.0-S0048969719317760,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065260981&origin=inward,10,2025-12-12 18:13:07,Review,10.1016/j.scitotenv.2019.04.247,0048-9697,https://api.elsevier.com/content/abstract/scopus_id/85065260981,678.0,,499.0,524.0,424,70.67,424,1,6,,,
